54	61	70	68	66	68	70	67	67	63	70	70	66	67	68	70	68	72	68	71	70	69	71	71	66	68	71	71	69	67	71	71	71	69	54	71	70	70	71	71	70	68	67	66	64	71	67	62	64	71	68	71	70	70	69	70	70	70	70	69	70	69	60	71	70	70	69	70	71	69	70	69	70	66	70	66	36	70	
56	64	73	68	71	71	73	70	67	64	73	73	66	68	70	73	70	68	74	72	73	71	73	71	69	69	73	73	70	65	73	73	73	72	57	73	72	71	73	73	73	72	72	69	67	73	70	66	65	73	72	73	73	71	73	72	73	73	73	71	72	70	60	73	72	73	73	73	73	72	73	70	73	66	73	67	38	73	
58	65	74	71	70	72	74	71	69	67	74	74	69	70	71	74	72	71	72	76	74	72	75	74	70	70	75	75	72	68	75	75	75	73	57	75	73	74	75	75	74	72	71	70	68	75	71	66	66	75	72	75	74	74	73	74	74	74	74	73	74	73	62	75	74	74	73	74	75	73	74	71	74	68	74	68	37	74	
57	65	75	70	71	72	75	71	69	66	75	74	68	70	72	75	72	70	73	74	76	73	75	73	70	70	75	75	72	67	75	75	75	73	57	75	74	73	75	75	75	73	72	70	69	75	71	67	67	75	73	75	75	73	74	74	75	75	75	73	74	72	62	75	74	75	74	75	75	73	75	72	74	68	75	69	38	75	
55	63	73	69	69	70	73	69	68	64	73	72	68	69	70	73	71	69	71	72	73	74	73	72	68	68	73	73	70	66	73	73	73	71	56	73	72	71	73	73	73	71	70	68	67	73	69	67	65	73	71	73	73	71	72	72	73	73	73	71	72	70	61	73	72	73	72	73	73	71	73	70	72	67	73	69	38	73	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	77	74	71	71	76	76	72	68	76	76	76	74	57	76	74	74	76	76	75	73	72	71	69	76	72	67	67	76	73	76	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
57	64	73	70	69	71	73	70	69	66	73	73	69	69	70	73	71	71	71	74	73	72	74	75	69	69	74	74	71	67	74	74	74	72	56	74	72	73	74	74	73	71	70	69	67	74	70	65	65	74	71	74	73	73	72	73	73	73	73	72	73	72	62	74	73	73	72	73	74	72	73	70	73	67	73	69	37	73	
56	65	70	68	68	69	70	69	65	63	70	70	65	66	68	70	68	66	69	70	70	68	71	69	72	68	71	71	67	66	71	71	71	70	55	71	69	69	71	71	70	69	67	70	65	71	69	65	65	71	69	71	70	69	70	69	70	70	70	70	71	69	61	71	70	70	70	70	71	70	70	68	71	63	70	65	34	70	
55	63	70	66	67	70	70	68	64	62	70	70	64	65	69	70	67	68	69	70	70	68	71	69	68	72	71	71	67	65	71	71	71	70	54	71	71	69	71	71	70	69	67	68	64	71	68	64	64	71	69	71	70	69	70	69	70	70	70	69	70	68	58	71	70	70	70	70	71	70	70	69	71	63	70	65	35	70	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	76	74	71	71	77	76	72	68	76	76	76	74	57	76	74	74	76	76	75	73	72	71	69	76	72	67	67	76	73	76	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	76	74	71	71	76	77	72	68	76	76	76	74	57	76	74	74	76	76	75	73	72	71	69	76	72	67	67	76	73	76	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
57	63	72	69	68	70	72	68	68	64	72	71	68	69	69	72	70	69	70	72	72	70	72	71	67	67	72	72	73	66	72	72	72	70	55	72	71	71	72	72	72	70	69	67	66	72	69	65	66	72	70	72	72	71	71	72	72	72	72	70	71	70	61	72	71	72	71	72	72	70	72	69	71	67	72	67	37	72	
52	60	67	68	64	65	67	65	63	61	67	67	63	65	65	67	66	67	65	68	67	66	68	67	66	65	68	68	66	69	68	68	68	66	54	68	67	67	68	68	67	65	64	66	62	68	65	61	62	68	65	68	67	67	66	67	67	67	67	67	68	66	60	68	67	67	66	67	68	66	67	66	67	64	67	62	34	67	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	76	74	71	71	76	76	72	68	77	76	76	74	57	76	74	74	76	76	75	73	72	71	69	76	72	67	67	76	73	76	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	76	74	71	71	76	76	72	68	76	77	76	74	57	76	74	74	76	76	75	73	72	71	69	76	72	67	67	76	73	76	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	76	74	71	71	76	76	72	68	76	76	77	74	57	76	74	74	76	76	75	73	72	71	69	76	72	67	67	76	73	76	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
57	66	73	69	71	72	73	71	67	67	73	73	67	68	70	73	70	69	72	73	73	71	74	72	70	70	74	74	70	66	74	74	74	75	57	74	72	72	74	74	73	72	70	71	68	74	72	66	65	74	73	74	73	72	73	72	73	73	73	73	73	71	60	74	73	73	73	73	74	73	73	70	74	66	73	67	36	73	
41	50	57	56	55	56	57	55	54	55	57	56	55	56	57	57	57	54	57	57	57	56	57	56	55	54	57	57	55	54	57	57	57	57	58	57	57	56	57	57	57	57	56	54	51	57	55	51	49	57	57	57	57	56	58	57	57	57	57	55	56	56	51	57	56	57	58	57	57	57	57	54	58	54	57	51	28	57	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	76	74	71	71	76	76	72	68	76	76	76	74	57	77	74	74	76	76	75	73	72	71	69	76	72	67	67	76	73	76	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
56	64	74	69	70	71	74	70	68	65	74	73	67	69	72	74	71	70	72	73	74	72	74	72	69	71	74	74	71	67	74	74	74	72	57	74	75	72	74	74	74	72	71	69	68	74	70	66	66	74	72	74	74	72	73	73	74	74	74	72	73	71	61	74	73	74	73	74	74	72	74	71	73	67	74	68	37	74	
57	64	73	70	69	71	73	70	69	67	73	73	68	69	70	73	71	70	71	74	73	71	74	73	69	69	74	74	71	67	74	74	74	72	56	74	72	75	74	74	73	71	70	69	69	74	70	65	65	74	71	74	73	74	72	73	73	73	73	72	73	73	62	74	73	73	72	73	74	72	73	70	73	67	73	67	37	73	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	76	74	71	71	76	76	72	68	76	76	76	74	57	76	74	74	77	76	75	73	72	71	69	76	72	67	67	76	73	76	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	76	74	71	71	76	76	72	68	76	76	76	74	57	76	74	74	76	77	75	73	72	71	69	76	72	67	67	76	73	76	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
57	65	75	70	71	72	75	71	69	66	75	74	68	70	72	75	72	70	73	74	75	73	75	73	70	70	75	75	72	67	75	75	75	73	57	75	74	73	75	75	76	73	72	70	69	75	71	67	67	75	73	75	75	73	74	74	75	75	75	73	74	72	62	75	74	75	74	75	75	73	75	72	74	68	75	69	38	75	
57	65	73	68	70	71	73	70	69	64	73	72	66	68	70	73	70	68	72	72	73	71	73	71	69	69	73	73	70	65	73	73	73	72	57	73	72	71	73	73	73	74	70	69	68	73	70	66	66	73	72	73	73	71	73	72	73	73	73	71	72	70	60	73	72	73	73	73	73	72	73	70	73	66	73	68	38	73	
54	62	72	67	70	69	72	68	66	64	72	73	65	67	69	72	69	67	72	71	72	70	72	70	67	67	72	72	69	64	72	72	72	70	56	72	71	70	72	72	72	70	73	67	66	72	68	64	64	72	70	72	72	70	71	71	72	72	72	70	71	69	60	72	71	72	71	72	72	70	72	69	71	65	72	66	37	72	
57	64	70	68	69	69	70	69	64	64	70	70	64	65	67	70	67	66	69	70	70	68	71	69	70	68	71	71	67	66	71	71	71	71	54	71	69	69	71	71	70	69	67	72	66	71	70	65	65	71	70	71	70	69	70	69	70	70	70	71	71	68	60	71	70	70	70	70	71	70	70	68	71	63	70	65	34	70	
57	63	69	64	67	66	69	66	65	62	69	68	62	64	66	69	66	64	67	68	69	67	69	67	65	64	69	69	66	62	69	69	69	68	51	69	68	69	69	69	69	68	66	66	70	69	67	61	63	69	68	69	69	69	68	68	69	69	69	69	69	68	58	69	68	69	68	69	69	67	69	66	68	62	69	65	34	69	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	76	74	71	71	76	76	72	68	76	76	76	74	57	76	74	74	76	76	75	73	72	71	69	77	72	67	67	76	73	76	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
57	66	71	67	70	71	71	70	65	65	71	71	67	66	68	71	68	67	70	71	71	69	72	70	69	68	72	72	69	65	72	72	72	72	55	72	70	70	72	72	71	70	68	70	67	72	73	65	64	72	71	72	71	70	71	70	71	71	71	72	72	69	60	72	71	71	71	71	72	71	71	68	72	64	71	67	35	71	
56	61	67	64	64	66	67	66	61	58	67	66	62	64	64	67	66	62	66	66	67	67	67	65	65	64	67	67	65	61	67	67	67	66	51	67	66	65	67	67	67	66	64	65	61	67	65	68	63	67	66	67	67	65	67	66	67	67	67	65	66	64	55	67	67	67	67	67	67	67	67	66	67	62	67	63	35	67	
57	60	67	64	64	64	67	66	63	58	67	66	61	64	64	67	64	64	65	66	67	65	67	65	65	64	67	67	66	62	67	67	67	65	49	67	66	65	67	67	67	66	64	65	63	67	64	63	68	67	65	67	67	65	66	66	67	67	67	66	67	64	57	67	67	67	66	67	67	66	67	67	66	62	67	64	35	67	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	76	74	71	71	76	76	72	68	76	76	76	74	57	76	74	74	76	76	75	73	72	71	69	76	72	67	67	77	73	76	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
57	65	73	68	71	71	73	70	67	66	73	72	66	68	70	73	70	68	72	72	73	71	73	71	69	69	73	73	70	65	73	73	73	73	57	73	72	71	73	73	73	72	70	70	68	73	71	66	65	73	74	73	73	71	73	72	73	73	73	72	72	70	60	73	72	73	73	73	73	72	73	70	73	66	73	67	37	73	
57	66	75	71	71	73	75	72	69	67	75	75	69	70	72	75	72	71	73	75	75	73	76	74	71	71	76	76	72	68	76	76	76	74	57	76	74	74	76	76	75	73	72	71	69	76	72	67	67	76	73	77	75	74	74	74	75	75	75	74	75	73	62	76	75	75	74	75	76	74	75	72	75	68	75	69	37	75	
